*SURE-Pulse File3*
Sample Type				:Tension Rect
Sample Name				:20141211-EXP-004-12INCH-185PSI-100.53FPS
In English				:TRUE
Date     				:12/11/2014
File path saved           ¥C:\Users\CameraLaptop\Dropbox\EXPONENT\S004\20141211-EXP-004-12INCH-185PSI-100.53FPS.txt
€SAMPLE/SHOT INFO

Sample Length(in)			:0.25
Sample Height(in)			:0.234
Sample Width(in)			:0.122
Sample Density(lb/in^3)			:0.298
Sample Youngs Modulus (psi*10^6)	:28
Sample Heat Capacity (BTU/(lb*F))	:0.2
Striker Bar Length(in) 			:24
Striker Bar Diameter(in)		:0.75
Striker Bar Speed(ft/s)			:33.38
Striker Bar Density(lb/in^3)			:0.298
Sample Notes 
¥¥
€BAR SETUP/MODULUS CALIBRATION
Bar Setup/Modulus Calibration name	:Exponent
Distance to Incident Strain Gauge(in)	:36
Voltage Calibrated of Incident Bar	:2
Length of Incident Strain Gauge(in)	:0.25
Resistance of 1000 micro Strain
Calibration of Incident Gauge*10^3	:59.94
Gauge Factor of Incident Gauge		:2.15
Gauge Resistance of Incident Gauge	:120
Incident Bar Diameter(in)			:0.75
Incident Bar Density(lb/in^3)			:0.298

Distance to Transmission Strain Gauge(in):36
Voltage Calibrated of Transmission Bar	:2
Length of Incident Strain Gauge(in)	:0.25
Resistance of 1000 micro Strain
Calibration of Transmission Gauge*10^3:59.94
Gauge Factor of Transmission Gauge	:2
Gauge Resistance of Transmission Gauge	:120
Transmission Bar Diameter(in)			:0.75
Transmission Bar Density(lb/in^3)			:0.298

Name of Incident Calibration File	:Manually entered
Name of Transmission Calibration File	:Manually entered
Young's Modulus Incident(psi)		:28
Young's Modulus Transmission(psi)	:28
¥CAMERA PRESENT¥
Camera Frames Per Second	:500000
€PULSE SELECTION
PULSE NOT SELECTED

€DATA
Time(μs)   Incident Bar (V)    Transmission Bar(V)
-193.49856	-0.00610426	0
-193.44856	0.00976682	-0.00610426
-193.39856	0	-0.01709193
-193.34856	0	-0.01098767
-193.29856	0	0
-193.24856	0.00488341	0
-193.19856	-0.01098767	-0.01098767
-193.14856	-0.02197534	-0.00610426
-193.09856	-0.00610426	-0.01709193
-193.04856	-0.00610426	0
-192.99856	-0.00610426	-0.00610426
-192.94856	-0.01098767	0
-192.89856	-0.01098767	-0.01098767
-192.84856	-0.01587108	-0.01098767
-192.79856	0	-0.01098767
-192.74856	-0.00610426	-0.01709193
-192.69856	-0.01098767	-0.01098767
-192.64856	0.00488341	-0.01709193
-192.59856	0.00976682	0.00488341
-192.54856	-0.01098767	0.00488341
-192.49856	0.00488341	-0.01098767
-192.44856	-0.01098767	0
-192.39856	0.00976682	-0.01098767
-192.34856	-0.01098767	-0.01709193
-192.29856	0.00488341	-0.00610426
-192.24856	0	-0.00610426
-192.19856	0	-0.01098767
-192.14856	0.00488341	-0.01098767
-192.09856	-0.00610426	-0.01709193
-192.04856	-0.01098767	-0.01098767
-191.99856	-0.00610426	-0.01709193
-191.94856	0	-0.00610426
-191.89856	-0.01587108	-0.01098767
-191.84856	0	-0.01098767
-191.79856	0	-0.01098767
-191.74856	-0.00610426	0.00488341
-191.69856	-0.01098767	-0.01709193
-191.64856	-0.00610426	-0.00610426
-191.59856	0.00488341	-0.00610426
-191.54856	-0.00610426	-0.02197534
-191.49856	-0.00610426	-0.01098767
-191.44856	-0.00610426	0
-191.39856	0	-0.00610426
-191.34856	0	0
-191.29856	0.00976682	-0.01098767
-191.24856	0	-0.00610426
-191.19856	0	-0.00610426
-191.14856	-0.00610426	0
-191.09856	0	-0.01709193
-191.04856	0.00488341	0.00488341
-190.99856	0.00976682	-0.00610426
-190.94856	0	0
-190.89856	0.00488341	0
-190.84856	0	-0.00610426
-190.79856	-0.01098767	0.00976682
-190.74856	-0.00610426	-0.01098767
-190.69856	-0.00610426	-0.00610426
-190.64856	-0.00610426	-0.01098767
-190.59856	0	-0.01098767
-190.54856	0.00488341	-0.00610426
-190.49856	0	-0.01098767
-190.44856	-0.01098767	-0.00610426
-190.39856	-0.01587108	-0.00610426
-190.34856	0	-0.00610426
-190.29856	-0.00610426	-0.01098767
-190.24856	0.00488341	-0.00610426
-190.19856	0.00976682	-0.01098767
-190.14856	-0.00610426	-0.01709193
-190.09856	-0.00610426	-0.00610426
-190.04856	0	0
-189.99856	0	-0.00610426
-189.94856	-0.00610426	-0.01098767
-189.89856	-0.01098767	-0.01709193
-189.84856	-0.01587108	-0.01098767
-189.79856	-0.00610426	-0.01098767
-189.74856	-0.01587108	-0.00610426
-189.69856	-0.00610426	-0.00610426
-189.64856	-0.01098767	-0.01098767
-189.59856	-0.01098767	-0.01098767
-189.54856	-0.00610426	-0.00610426
-189.49856	-0.02197534	-0.01098767
-189.44856	-0.01098767	0
-189.39856	0	-0.01098767
-189.34856	0.00976682	0
-189.29856	-0.00610426	-0.00610426
-189.24856	-0.00610426	-0.00610426
-189.19856	0	0
-189.14856	-0.01098767	-0.00610426
-189.09856	0.00488341	0
-189.04856	-0.00610426	-0.01098767
-188.99856	-0.00610426	0
-188.94856	-0.00610426	-0.00610426
-188.89856	-0.00610426	-0.00610426
-188.84856	0	-0.00610426
-188.79856	0.00488341	0
-188.74856	-0.00610426	-0.00610426
-188.69856	-0.01587108	-0.00610426
-188.64856	-0.01098767	-0.01098767
-188.59856	-0.00610426	-0.01098767
-188.54856	-0.00610426	0
-188.49856	0.00976682	-0.00610426
-188.44856	-0.01098767	-0.00610426
-188.39856	-0.01098767	0
-188.34856	-0.00610426	-0.00610426
-188.29856	0	-0.00610426
-188.24856	-0.00610426	-0.01098767
-188.19856	-0.00610426	-0.00610426
-188.14856	-0.01098767	-0.00610426
-188.09856	-0.01098767	0.00488341
-188.04856	0	-0.01709193
-187.99856	-0.00610426	0
-187.94856	-0.01098767	-0.02197534
-187.89856	-0.00610426	-0.00610426
-187.84856	0	-0.02197534
-187.79856	-0.00610426	-0.00610426
-187.74856	-0.00610426	-0.00610426
-187.69856	0.00976682	-0.01098767
-187.64856	0	0
-187.59856	-0.01098767	-0.01098767
-187.54856	-0.02197534	-0.00610426
-187.49856	-0.01098767	-0.00610426
-187.44856	-0.00610426	0
-187.39856	-0.01098767	-0.00610426
-187.34856	-0.00610426	0
-187.29856	0.00488341	-0.01098767
-187.24856	0	0
-187.19856	-0.00610426	-0.00610426
-187.14856	0	-0.01709193
-187.09856	-0.01098767	0.00488341
-187.04856	-0.01587108	-0.00610426
-186.99856	-0.00610426	-0.01709193
-186.94856	-0.00610426	-0.00610426
-186.89856	-0.00610426	-0.00610426
-186.84856	0.01465023	-0.01098767
-186.79856	-0.01098767	-0.00610426
-186.74856	-0.00610426	-0.01098767
-186.69856	-0.00610426	-0.01098767
-186.64856	-0.01098767	-0.01098767
-186.59856	-0.01587108	-0.01709193
-186.54856	-0.00610426	0.00488341
-186.49856	-0.01098767	-0.01709193
-186.44856	-0.02197534	-0.00610426
-186.39856	-0.01587108	0.00488341
-186.34856	-0.01587108	-0.01098767
-186.29856	-0.01098767	-0.01098767
-186.24856	-0.01587108	-0.00610426
-186.19856	-0.02197534	-0.01098767
-186.14856	-0.02197534	-0.00610426
-186.09856	-0.01098767	-0.00610426
-186.04856	-0.00610426	-0.01098767
-185.99856	0	-0.01709193
-185.94856	-0.00610426	-0.01709193
-185.89856	-0.00610426	-0.00610426
-185.84856	0	-0.00610426
-185.79856	-0.00610426	0
-185.74856	-0.01587108	0
-185.69856	0.00976682	0.00488341
-185.64856	0.00488341	-0.00610426
-185.59856	-0.00610426	0
-185.54856	0	-0.01098767
-185.49856	0	0
-185.44856	0.00488341	0
-185.39856	0	-0.00610426
-185.34856	0.00488341	-0.00610426
-185.29856	0.00488341	-0.00610426
-185.24856	0.00488341	0
-185.19856	0	-0.01709193
-185.14856	0.00488341	0
-185.09856	0.00488341	-0.01098767
-185.04856	-0.01098767	0
-184.99856	0.00488341	0
-184.94856	-0.01098767	0.00488341
-184.89856	0.00976682	0
-184.84856	0	-0.01098767
-184.79856	0.00976682	-0.01098767
-184.74856	0	-0.00610426
-184.69856	0	0
-184.64856	0	-0.00610426
-184.59856	-0.01098767	0
-184.54856	-0.01098767	-0.01098767
-184.49856	-0.01098767	-0.00610426
-184.44856	0	-0.01098767
-184.39856	-0.01098767	-0.01709193
